Census family after-tax income groups (21),2015 [1],2005 [2], 
Total - After-tax income of census family,91810,90350,
"  Under $5,000",1035,1520,
"  $5,000 to $9,999",640,995,
"  $10,000 to $14,999",1060,1380,
"  $15,000 to $19,999",1755,2045,
"  $20,000 to $24,999",2380,2260,
"  $25,000 to $29,999",3070,2720,
"  $30,000 to $34,999",3590,3220,
"  $35,000 to $39,999",3880,3975,
"  $40,000 to $44,999",4190,4030,
"  $45,000 to $49,999",4680,3895,
"  $50,000 to $59,999",8990,8630,
"  $60,000 to $69,999",8615,8165,
"  $70,000 to $79,999",7975,7845,
"  $80,000 to $89,999",7020,7085,
"  $90,000 to $99,999",6070,6260,
"  $100,000 and over",26855,26325,
"    $100,000 to $124,999",11105,11610,
"    $125,000 to $149,999",6620,7245,
"    $150,000 and over",9130,7460,
  Median after-tax income of census family ($) [3],72483,72935,
