"REF_DATE","GEO","DGUID","Economic family structure (9)","Family size of economic family (5)","Ages of economic family members (18)","Number of earners in the economic family (6)","Economic family total income groups (22)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Total - Total income of economic family","2020","","0","units","0","","78.1.1.1.1.1.1","155780","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Total - Total income of economic family","2015","","0","units","0","","78.1.1.1.1.1.2","144525","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Under $5,000","2020","","0","units","0","","78.1.1.1.1.2.1","695","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Under $5,000","2015","","0","units","0","","78.1.1.1.1.2.2","980","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$5,000 to $9,999","2020","","0","units","0","","78.1.1.1.1.3.1","255","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$5,000 to $9,999","2015","","0","units","0","","78.1.1.1.1.3.2","475","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$10,000 to $14,999","2020","","0","units","0","","78.1.1.1.1.4.1","415","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$10,000 to $14,999","2015","","0","units","0","","78.1.1.1.1.4.2","805","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$15,000 to $19,999","2020","","0","units","0","","78.1.1.1.1.5.1","620","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$15,000 to $19,999","2015","","0","units","0","","78.1.1.1.1.5.2","1340","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$20,000 to $24,999","2020","","0","units","0","","78.1.1.1.1.6.1","960","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$20,000 to $24,999","2015","","0","units","0","","78.1.1.1.1.6.2","1875","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$25,000 to $29,999","2020","","0","units","0","","78.1.1.1.1.7.1","1360","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$25,000 to $29,999","2015","","0","units","0","","78.1.1.1.1.7.2","2395","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$30,000 to $34,999","2020","","0","units","0","","78.1.1.1.1.8.1","2085","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$30,000 to $34,999","2015","","0","units","0","","78.1.1.1.1.8.2","3165","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$35,000 to $39,999","2020","","0","units","0","","78.1.1.1.1.9.1","3055","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$35,000 to $39,999","2015","","0","units","0","","78.1.1.1.1.9.2","3965","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$40,000 to $44,999","2020","","0","units","0","","78.1.1.1.1.10.1","3745","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$40,000 to $44,999","2015","","0","units","0","","78.1.1.1.1.10.2","4040","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$45,000 to $49,999","2020","","0","units","0","","78.1.1.1.1.11.1","4040","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$45,000 to $49,999","2015","","0","units","0","","78.1.1.1.1.11.2","4315","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$50,000 to $59,999","2020","","0","units","0","","78.1.1.1.1.12.1","8710","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$50,000 to $59,999","2015","","0","units","0","","78.1.1.1.1.12.2","9085","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$60,000 to $69,999","2020","","0","units","0","","78.1.1.1.1.13.1","9765","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$60,000 to $69,999","2015","","0","units","0","","78.1.1.1.1.13.2","9360","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$70,000 to $79,999","2020","","0","units","0","","78.1.1.1.1.14.1","10140","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$70,000 to $79,999","2015","","0","units","0","","78.1.1.1.1.14.2","9595","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$80,000 to $89,999","2020","","0","units","0","","78.1.1.1.1.15.1","10375","","","","0"
