"REF_DATE","GEO","DGUID","Economic family structure (9)","Family size of economic family (5)","Ages of economic family members (18)","Number of earners in the economic family (6)","Economic family total income groups (22)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Total - Total income of economic family","2020","","0","units","0","","102.1.1.1.1.1.1","115080","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Total - Total income of economic family","2015","","0","units","0","","102.1.1.1.1.1.2","110110","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Under $5,000","2020","","0","units","0","","102.1.1.1.1.2.1","490","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","Under $5,000","2015","","0","units","0","","102.1.1.1.1.2.2","830","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$5,000 to $9,999","2020","","0","units","0","","102.1.1.1.1.3.1","190","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$5,000 to $9,999","2015","","0","units","0","","102.1.1.1.1.3.2","490","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$10,000 to $14,999","2020","","0","units","0","","102.1.1.1.1.4.1","300","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$10,000 to $14,999","2015","","0","units","0","","102.1.1.1.1.4.2","735","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$15,000 to $19,999","2020","","0","units","0","","102.1.1.1.1.5.1","485","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Economic family structure","Total - Economic families by family size","Total - Economic families by number of persons aged 0 to 5 years","Total - Number of earners in the economic family","$15,000 to $19,999","2015","","0","units","0","","102.1.1.1.1.5.2","1355","","","","0"
