"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","N9A","2021A0011N9A","Population, 2021","","0","units","0","","1100.1","26107","","","","0"
"2021","N9B","2021A0011N9B","Population, 2021","","0","units","0","","1101.1","19613","","","","0"
"2021","N9C","2021A0011N9C","Population, 2021","","0","units","0","","1102.1","12538","","","","0"
"2021","N9E","2021A0011N9E","Population, 2021","","0","units","0","","1103.1","21465","","","","0"
"2021","N9G","2021A0011N9G","Population, 2021","","0","units","0","","1104.1","20712","","","","0"
"2021","N9H","2021A0011N9H","Population, 2021","","0","units","0","","1105.1","13173","","","","0"
"2021","N9J","2021A0011N9J","Population, 2021","","0","units","0","","1106.1","20089","","","","0"
"2021","N9K","2021A0011N9K","Population, 2021","","0","units","0","","1107.1","2757","","","","0"
"2021","N9V","2021A0011N9V","Population, 2021","","0","units","0","","1108.1","21688","","","","0"
"2021","N9Y","2021A0011N9Y","Population, 2021","","0","units","0","","1109.1","15836","","","","0"


