,,,"Waterloo, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  535154,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  507096,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.5,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  214299,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  203832,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  390.9,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   1368.92,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  535155,,  264265,,  270890,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   95380,,   48785,,   46595,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   30395,,   15560,,   14840,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   32725,,   16780,,   15940,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   32260,,   16445,,   15820,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  362585,,  180580,,  182010,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   33610,,   17205,,   16405,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   39735,,   20710,,   19020,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   37480,,   18920,,   18565,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   36605,,   18130,,   18470,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   35105,,   17270,,   17840,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   35770,,   17560,,   18205,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   37370,,   18405,,   18965,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   40190,,   19835,,   20360,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   36330,,   17895,,   18440,,  989460,,  482280,,  507180,
