"Special Interest Profile, 2021 Census of Population"
"Geography: Waterloo (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Citizenship","Total - Citizenship for the population in private households - 25% sample data",64,118390,"", 59830,"", 58560,"",
"Citizenship","  Canadian citizens",65, 97955,"", 48890,"", 49065,"",
"Citizenship","    Canadian citizens only",, 82830,"", 41105,"", 41725,"",
"Citizenship","    Citizens of Canada and at least one other country",, 15125,"",  7780,"",  7345,"",
"Citizenship","  Not Canadian citizens",66, 20435,"", 10940,"",  9495,"",
"Immigrant status and period of immigration","Total - Immigrant status and period of immigration for the population in private households - 25% sample data",67,118390,"", 59830,"", 58560,"",
"Immigrant status and period of immigration","  Non-immigrants",68, 75610,"", 37655,"", 37950,"",
"Immigrant status and period of immigration","  Immigrants",69, 32535,"", 16265,"", 16270,"",
"Immigrant status and period of immigration","    Before 1980",,  5195,"",  2570,"",  2625,"",
"Immigrant status and period of immigration","    1980 to 1990",,  2985,"",  1490,"",  1490,"",
"Immigrant status and period of immigration","    1991 to 2000",,  5600,"",  2855,"",  2745,"",
"Immigrant status and period of immigration","    2001 to 2010",,  7995,"",  3870,"",  4125,"",
"Immigrant status and period of immigration","    2011 to 2021",70, 10760,"",  5475,"",  5290,"",
"Immigrant status and period of immigration","      2011 to 2015",,  4150,"",  2070,"",  2080,"",
"Immigrant status and period of immigration","      2016 to 2021",,  6615,"",  3405,"",  3210,"",
"Immigrant status and period of immigration","  Non-permanent residents",71, 10250,"",  5910,"",  4340,"",
"Age at immigration","Total - Age at immigration for the immigrant population in private households - 25% sample data",72, 32535,"", 16265,"", 16270,"",
"Age at immigration","  Under 5 years",,  3600,"",  1960,"",  1640,"",
"Age at immigration","  5 to 14 years",,  6035,"",  3280,"",  2755,"",
"Age at immigration","  15 to 24 years",,  5290,"",  2445,"",  2835,"",
"Age at immigration","  25 to 44 years",, 14980,"",  7335,"",  7645,"",
"Age at immigration","  45 years and over",,  2625,"",  1235,"",  1390,"",
"Place of birth","Total - Place of birth for the population in private households - 25% sample data",73,118390,"", 59830,"", 58560,"",
"Place of birth","  Born in Canada",, 74300,"", 37030,"", 37270,"",
"Place of birth","  Born outside Canada",, 44090,"", 22805,"", 21290,"",
"Place of birth","    Americas",,  5255,"",  2570,"",  2690,"",
"Place of birth","      North America",,  1905,"",   920,"",   985,"",
"Place of birth","        United States of America",,  1905,"",   920,"",   985,"",
"Place of birth","        Other places of birth in North America",,     0,"",     0,"",     0,"",
"Place of birth","      Central America",,   830,"",   440,"",   390,"",
"Place of birth","        El Salvador",,   195,"",   100,"",    95,"",
"Place of birth","        Guatemala",,   130,"",    55,"",    75,"",
"Place of birth","        Mexico",,   275,"",   170,"",   110,"",
"Place of birth","        Other places of birth in Central America",,   225,"",   110,"",   115,"",
"Place of birth","      Caribbean and Bermuda",,   835,"",   395,"",   440,"",
"Place of birth","        Barbados",,    45,"",    25,"",    20,"",
"Place of birth","        Cuba",,    65,"",    35,"",    35,"",
"Place of birth","        Dominican Republic",,    30,"",    15,"",    15,"",
"Place of birth","        Grenada",,    25,"",    10,"",    15,"",
"Place of birth","        Haiti",,    10,"",     0,"",     0,"",
"Place of birth","        Jamaica",,   300,"",   150,"",   150,"",
"Place of birth","        Saint Vincent and the Grenadines",,    10,"",     0,"",    10,"",
"Place of birth","        Trinidad and Tobago",,   235,"",   105,"",   130,"",
"Place of birth","        Other places of birth in Caribbean and Bermuda",,   115,"",    60,"",    60,"",
"Place of birth","      South America",,  1690,"",   820,"",   870,"",
"Place of birth","        Argentina",,    45,"",    30,"",    15,"",
"Place of birth","        Brazil",,   475,"",   235,"",   235,"",
"Place of birth","        Chile",,    35,"",    10,"",    25,"",
"Place of birth","        Colombia",,   390,"",   190,"",   210,"",
"Place of birth","        Ecuador",,    90,"",    60,"",    30,"",
"Place of birth","        Guyana",,   405,"",   200,"",   205,"",
"Place of birth","        Peru",,    60,"",    20,"",    35,"",
"Place of birth","        Venezuela",74,   105,"",    45,"",    60,"",
"Place of birth","        Other places of birth in South America",,    85,"",    30,"",    60,"",
"Place of birth","    Europe",,  8940,"",  4550,"",  4395,"",
"Place of birth","      Western Europe",,  1630,"",   900,"",   725,"",
"Place of birth","        Austria",,   120,"",    80,"",    45,"",
"Place of birth","        Belgium",,    65,"",    40,"",    25,"",
"Place of birth","        France",,   150,"",    90,"",    55,"",
"Place of birth","        Germany",,   995,"",   530,"",   465,"",
"Place of birth","        Netherlands",,   250,"",   145,"",   110,"",
"Place of birth","        Switzerland",,    45,"",    20,"",    30,"",
"Place of birth","        Other places of birth in Western Europe",,     0,"",     0,"",     0,"",
"Place of birth","      Eastern Europe",,  2965,"",  1450,"",  1515,"",
"Place of birth","        Belarus",,    95,"",    40,"",    55,"",
"Place of birth","        Bulgaria",,   130,"",    70,"",    55,"",
"Place of birth","        Czechia",,   110,"",    55,"",    55,"",
"Place of birth","        Hungary",,   170,"",    65,"",   105,"",
"Place of birth","        Moldova",75,    55,"",    35,"",    25,"",
"Place of birth","        Poland",,   765,"",   365,"",   390,"",
"Place of birth","        Romania",,   765,"",   380,"",   385,"",
"Place of birth","        Russian Federation",,   420,"",   190,"",   235,"",
"Place of birth","        Slovakia",,    75,"",    25,"",    50,"",
"Place of birth","        Ukraine",,   345,"",   200,"",   145,"",
"Place of birth","        Other places of birth in Eastern Europe",,    35,"",    20,"",    15,"",
"Place of birth","      Northern Europe",,  2265,"",  1110,"",  1155,"",
"Place of birth","        Denmark",,    60,"",    20,"",    35,"",
