"Special Interest Profile, 2021 Census of Population"
"Geography: Waterloo (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Total income groups in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",11,100820,"", 50700,"", 50120,"",
"Total income groups in 2020","  With total income",, 95540,"", 47910,"", 47630,"",
"Total income groups in 2020","    Under $10,000 (including loss)",, 10515,"",  4675,"",  5835,"",
"Total income groups in 2020","    $10,000 to $19,999",, 11790,"",  5310,"",  6480,"",
"Total income groups in 2020","    $20,000 to $29,999",, 13410,"",  5995,"",  7415,"",
"Total income groups in 2020","    $30,000 to $39,999",, 10635,"",  4750,"",  5885,"",
"Total income groups in 2020","    $40,000 to $49,999",,  9055,"",  4115,"",  4940,"",
"Total income groups in 2020","    $50,000 to $59,999",,  7285,"",  3545,"",  3745,"",
"Total income groups in 2020","    $60,000 to $69,999",,  5895,"",  3015,"",  2880,"",
"Total income groups in 2020","    $70,000 to $79,999",,  5215,"",  2810,"",  2405,"",
"Total income groups in 2020","    $80,000 to $89,999",,  3935,"",  2205,"",  1725,"",
"Total income groups in 2020","    $90,000 to $99,999",,  3385,"",  1870,"",  1510,"",
"Total income groups in 2020","    $100,000 to $149,999",,  8700,"",  5435,"",  3265,"",
"Total income groups in 2020","    $150,000 and over",,  5725,"",  4180,"",  1550,"",
"After-tax income groups in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",12,100820,"", 50700,"", 50120,"",
"After-tax income groups in 2020","  With after-tax income",, 95590,"", 47940,"", 47645,"",
"After-tax income groups in 2020","    Under $10,000 (including loss)",, 10930,"",  4845,"",  6090,"",
"After-tax income groups in 2020","    $10,000 to $19,999",, 12305,"",  5575,"",  6740,"",
"After-tax income groups in 2020","    $20,000 to $29,999",, 14795,"",  6535,"",  8260,"",
"After-tax income groups in 2020","    $30,000 to $39,999",, 12535,"",  5650,"",  6885,"",
"After-tax income groups in 2020","    $40,000 to $49,999",, 10110,"",  4870,"",  5230,"",
"After-tax income groups in 2020","    $50,000 to $59,999",,  8300,"",  4250,"",  4045,"",
"After-tax income groups in 2020","    $60,000 to $69,999",,  6530,"",  3465,"",  3060,"",
"After-tax income groups in 2020","    $70,000 to $79,999",,  4820,"",  2795,"",  2030,"",
"After-tax income groups in 2020","    $80,000 to $89,999",,  4470,"",  2415,"",  2060,"",
"After-tax income groups in 2020","    $90,000 to $99,999",,  2595,"",  1625,"",   970,"",
"After-tax income groups in 2020","    $100,000 and over",,  8200,"",  5920,"",  2285,"",
"Employment income groups in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",13,100820,"", 50700,"", 50120,"",
"Employment income groups in 2020","  With employment income",, 72200,"", 38190,"", 34010,"",
"Employment income groups in 2020","    Under $10,000 (including loss)",, 17020,"",  8125,"",  8895,"",
"Employment income groups in 2020","    $10,000 to $19,999",,  9075,"",  4305,"",  4765,"",
"Employment income groups in 2020","    $20,000 to $29,999",,  6010,"",  2900,"",  3110,"",
"Employment income groups in 2020","    $30,000 to $39,999",,  5560,"",  2590,"",  2965,"",
"Employment income groups in 2020","    $40,000 to $49,999",,  5065,"",  2405,"",  2665,"",
"Employment income groups in 2020","    $50,000 to $59,999",,  4635,"",  2445,"",  2190,"",
"Employment income groups in 2020","    $60,000 to $69,999",,  4060,"",  2175,"",  1885,"",
"Employment income groups in 2020","    $70,000 to $79,999",,  3655,"",  2010,"",  1645,"",
