Age (in single years) and average age (127),Total - Sex,  Male,  Female, 
Total - Age,329140,161305,167840,
  0 to 14 years,55000,28150,26850,
    0 to 4 years,16490,8460,8030,
      Under 1 year,3150,1625,1520,
1,3190,1655,1540,
2,3285,1670,1620,
3,3380,1710,1670,
4,3485,1795,1690,
    5 to 9 years,18655,9465,9195,
5,3400,1715,1685,
6,3750,1905,1840,
7,3765,1855,1910,
8,3880,2010,1870,
9,3865,1975,1890,
    10 to 14 years,19855,10230,9625,
10,3925,2035,1885,
11,3985,2060,1925,
12,3990,2030,1960,
13,3940,2040,1900,
14,4020,2060,1965,
  15 to 64 years,217375,107605,109775,
    15 to 19 years,20985,10850,10135,
15,4110,2110,2000,
16,4245,2190,2055,
17,4115,2065,2050,
18,4190,2210,1980,
19,4320,2275,2050,
    20 to 24 years,22940,11925,11015,
20,4690,2405,2285,
21,4635,2435,2205,
22,4605,2370,2240,
23,4715,2445,2270,
24,4290,2275,2020,
    25 to 29 years,19665,9975,9690,
25,4450,2320,2130,
26,4155,2080,2080,
27,3785,1990,1795,
28,3665,1785,1880,
29,3610,1800,1810,
    30 to 34 years,18065,8580,9480,
30,3775,1835,1935,
31,3630,1750,1880,
32,3580,1695,1890,
33,3615,1725,1890,
34,3470,1575,1895,
    35 to 39 years,19065,9055,10010,
35,3615,1680,1935,
36,3815,1840,1965,
37,3890,1815,2065,
38,3855,1840,2010,
39,3895,1865,2030,
    40 to 44 years,21490,10345,11145,
40,4135,1975,2160,
41,4285,2070,2220,
42,4105,1955,2150,
43,4380,2115,2265,
44,4585,2235,2350,
    45 to 49 years,23395,11470,11920,
45,4845,2380,2465,
46,4800,2335,2460,
47,4535,2245,2290,
48,4470,2160,2310,
49,4740,2355,2385,
    50 to 54 years,25855,12835,13020,
50,5115,2595,2520,
51,5115,2470,2640,
52,5260,2635,2625,
53,5295,2610,2685,
54,5075,2520,2555,
    55 to 59 years,24660,12245,12415,
55,5045,2465,2580,
56,5075,2605,2470,
57,4855,2460,2400,
58,4860,2420,2435,
59,4830,2285,2540,
    60 to 64 years,21255,10320,10930,
60,4460,2170,2290,
61,4450,2160,2290,
62,4215,2095,2120,
63,4095,1960,2135,
64,4035,1935,2105,
  65 years and over,56765,25550,31210,
    65 to 69 years,18825,8960,9860,
65,3850,1875,1970,
66,3870,1850,2015,
67,3695,1735,1960,
68,3670,1740,1925,
69,3740,1755,1990,
    70 to 74 years,13285,6420,6865,
70,2880,1380,1505,
71,2815,1355,1460,
72,2690,1305,1390,
73,2570,1285,1290,
74,2325,1100,1220,
    75 to 79 years,9875,4485,5390,
75,2225,1025,1200,
76,2075,945,1130,
77,1970,895,1080,
78,1870,840,1025,
79,1740,785,955,
    80 to 84 years,7140,3100,4040,
80,1665,755,910,
81,1480,655,825,
82,1385,620,765,
83,1305,550,755,
84,1310,520,790,
    85 years and over,7640,2585,5055,
      85 to 89 years,4745,1810,2940,
85,1230,490,740,
86,1075,440,640,
87,875,320,555,
88,805,295,510,
89,760,265,495,
      90 to 94 years,2270,640,1630,
90,660,185,470,
91,535,155,380,
92,470,155,315,
93,355,80,270,
94,255,65,195,
      95 to 99 years,545,120,425,
95,240,65,175,
96,130,25,105,
97,75,10,65,
98,55,10,50,
99,35,5,30,
      100 years and over,80,20,60,
