"Special Interest Profile, 2021 Census of Population"
"Geography: Windsor (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Labour force status","Total - Population aged 15 years and over by labour force status - 25% sample data",150,189865,"", 93590,"", 96275,"",
"Labour force status","  In the labour force",,106885,"", 57825,"", 49060,"",
"Labour force status","    Employed",, 86735,"", 47030,"", 39705,"",
"Labour force status","    Unemployed",, 20150,"", 10795,"",  9350,"",
"Labour force status","  Not in the labour force",, 82980,"", 35765,"", 47220,"",
"Labour force status","Participation rate",,   56.3,"",   61.8,"",   51.0,"",
"Labour force status","Employment rate",,   45.7,"",   50.3,"",   41.2,"",
"Labour force status","Unemployment rate",,   18.9,"",   18.7,"",   19.1,"",
"Work activity during the reference year","Total - Population aged 15 years and over by work activity during the reference year - 25% sample data",151,189865,"", 93590,"", 96275,"",
"Work activity during the reference year","  Did not work",152, 85635,"", 37590,"", 48050,"",
"Work activity during the reference year","  Worked",,104230,"", 56005,"", 48225,"",
"Work activity during the reference year","    Worked full year full time",153, 47480,"", 27140,"", 20340,"",
"Work activity during the reference year","    Worked part year and/or part time",154, 56750,"", 28865,"", 27885,"",
"Work activity during the reference year","    Average weeks worked in reference year",,   39.3,"",   39.9,"",   38.5,"",
"Class of worker","Total - Labour force aged 15 years and over by class of worker - 25% sample data",155,106885,"", 57825,"", 49060,"",
"Class of worker","  Class of worker - not applicable",156,  4010,"",  2160,"",  1855,"",
"Class of worker","  All classes of workers",157,102865,"", 55665,"", 47205,"",
"Class of worker","    Employee",, 91845,"", 48660,"", 43190,"",
"Class of worker","    Self-employed",158, 11025,"",  7005,"",  4015,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","Total - Occupation - TEER category - National Occupational Classification (NOC) 2021 for the population aged 15 years and over in private households - 25% sample data",159,189865,"", 93590,"", 96275,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","  All TEER categories",160,113950,"", 61000,"", 52945,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 0 management occupations",161,  8525,"",  4860,"",  3660,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 1 professional occupations",162, 19075,"",  9435,"",  9640,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 2 occupations",163, 20625,"", 13590,"",  7040,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 3 occupations",164, 18950,"",  8690,"", 10260,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 4 occupations",165, 23965,"", 12135,"", 11830,"",
"Occupation - TEER category - National Occupational Classification (NOC) 2021","    TEER 5 occupations",166, 22805,"", 12285,"", 10525,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","Total - Occupation - Major group - National Occupational Classification (NOC) 2021 for the population in private households aged 15 years and over who worked since 2020 - 25% sample data",167,113950,"", 61000,"", 52945,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  0 Legislative and senior management occupations",,   665,"",   385,"",   270,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    00 Legislative and senior managers",,   665,"",   385,"",   270,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  1 Business, finance and administration occupations",, 13730,"",  4455,"",  9270,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",,  1355,"",   615,"",   740,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    11 Professional occupations in finance and business",,  2505,"",  1230,"",  1275,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    12 Administrative and financial supervisors and specialized administrative occupations",,  1940,"",   680,"",  1255,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    13 Administrative occupations and transportation logistics occupations",,  3355,"",   620,"",  2725,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    14 Administrative and financial support and supply chain logistics occupations",,  4580,"",  1305,"",  3275,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  2 Natural and applied sciences and related occupations",,  9260,"",  7480,"",  1780,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    20 Specialized middle management occupations in engineering, architecture, science and information systems",,   450,"",   355,"",    95,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    21 Professional occupations in natural and applied sciences",,  5310,"",  4270,"",  1040,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    22 Technical occupations related to natural and applied sciences",,  3500,"",  2855,"",   645,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  3 Health occupations",,  9955,"",  2065,"",  7890,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    30 Specialized middle management occupations in health care",,   205,"",    70,"",   135,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    31 Professional occupations in health",,  4085,"",  1125,"",  2965,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    32 Technical occupations in health",,  1900,"",   370,"",  1530,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    33 Assisting occupations in support of health services",,  3765,"",   510,"",  3255,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  4 Occupations in education, law and social, community and government services",, 11385,"",  3855,"",  7530,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    40 Managers in public administration, in education and social and community services and in public protection services",,   455,"",   185,"",   270,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    41 Professional occupations in law, education, social, community and government services",,  6565,"",  2525,"",  4040,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",,  2300,"",   565,"",  1740,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    43 Assisting occupations in education and in legal and public protection",,  1255,"",   405,"",   850,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    44 Care providers and legal and public protection support occupations",,   565,"",   130,"",   435,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    45 Student monitors, crossing guards and related occupations",,   240,"",    40,"",   200,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  5 Occupations in art, culture, recreation and sport",,  2400,"",  1100,"",  1295,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    50 Specialized middle management occupations in art, culture, recreation and sport",,   105,"",    60,"",    45,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    51 Professional occupations in art and culture",,   615,"",   295,"",   325,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    52 Technical occupations in art, culture and sport",,   690,"",   350,"",   345,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    53 Occupations in art, culture and sport",,   480,"",   205,"",   280,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    54 Support occupations in sport",,   465,"",   160,"",   300,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    55 Support occupations in art and culture",,    40,"",    30,"",    10,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  6 Sales and service occupations",, 31605,"", 13470,"", 18135,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    60 Middle management occupations in retail and wholesale trade and customer services",,  3435,"",  1715,"",  1720,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    62 Retail sales and service supervisors and specialized occupations in sales and services",,  2100,"",  1070,"",  1030,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    63 Occupations in sales and services",,  4530,"",  1970,"",  2555,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    64 Sales and service representatives and other customer and personal services occupations",,  8160,"",  3570,"",  4595,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    65 Sales and service support occupations",, 13380,"",  5145,"",  8235,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  7 Trades, transport and equipment operators and related occupations",, 19800,"", 17895,"",  1905,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    70 Middle management occupations in trades and transportation",,  1190,"",   945,"",   245,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    72 Technical trades and transportation officers and controllers",,  7200,"",  6880,"",   315,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    73 General trades",,  5420,"",  4850,"",   570,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    74 Mail and message distribution, other transport equipment operators and related maintenance workers",,   980,"",   750,"",   230,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    75 Helpers and labourers and other transport drivers, operators and labourers",,  5010,"",  4465,"",   545,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  8 Natural resources, agriculture and related production occupations",,  1600,"",  1165,"",   435,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    80 Middle management occupations in production and agriculture",,   150,"",   105,"",    40,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    82 Supervisors in natural resources, agriculture and related production",,   185,"",   145,"",    35,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    83 Occupations in natural resources and related production",,    35,"",    35,"",     0,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    84 Workers in natural resources, agriculture and related production",,   100,"",    70,"",    30,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    85 Harvesting, landscaping and natural resources labourers",,  1135,"",   815,"",   320,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","  9 Occupations in manufacturing and utilities",, 13565,"",  9125,"",  4440,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    90 Middle management occupations in manufacturing and utilities",,   525,"",   425,"",   100,"",
"Occupation - Major group - National Occupational Classification (NOC) 2021","    92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",,   820,"",   670,"",   150,"",
