"REF_DATE","GEO","DGUID","Household contributions to registered savings accounts (18)","Selected household characteristics (30)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","Total - After-tax income of household ","","0","units","0","","102.1.1","165665","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","Under $10,000","","0","units","0","","102.1.2","2660","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$10,000 to $19,999","","0","units","0","","102.1.3","5585","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$20,000 to $29,999","","0","units","0","","102.1.4","12485","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$30,000 to $39,999","","0","units","0","","102.1.5","13495","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$40,000 to $49,999","","0","units","0","","102.1.6","15250","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$50,000 to $59,999","","0","units","0","","102.1.7","15160","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$60,000 to $69,999","","0","units","0","","102.1.8","14050","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$70,000 to $79,999","","0","units","0","","102.1.9","12925","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$80,000 to $89,999","","0","units","0","","102.1.10","11830","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$90,000 to $99,999","","0","units","0","","102.1.11","10200","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$100,000 and over ","","0","units","0","","102.1.12","52015","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$100,000 to $149,999","","0","units","0","","102.1.13","31425","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$150,000 to $199,999","","0","units","0","","102.1.14","12475","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$200,000 to $249,999","","0","units","0","","102.1.15","4515","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Household contributions to registered savings accounts","$250,000 and over","","0","units","0","","102.1.16","3610","","","","0"
