"Special Interest Profile, 2021 Census of Population"
"Geography: Windsor (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Citizenship","Total - Citizenship for the population in private households - 25% sample data",64,226460,"",112380,"",114080,"",
"Citizenship","  Canadian citizens",65,201160,"", 99145,"",102015,"",
"Citizenship","    Canadian citizens only",,168765,"", 82890,"", 85880,"",
"Citizenship","    Citizens of Canada and at least one other country",, 32395,"", 16255,"", 16140,"",
"Citizenship","  Not Canadian citizens",66, 25300,"", 13235,"", 12065,"",
"Immigrant status and period of immigration","Total - Immigrant status and period of immigration for the population in private households - 25% sample data",67,226460,"",112380,"",114080,"",
"Immigrant status and period of immigration","  Non-immigrants",68,152370,"", 75200,"", 77175,"",
"Immigrant status and period of immigration","  Immigrants",69, 66615,"", 32415,"", 34200,"",
"Immigrant status and period of immigration","    Before 1980",, 12400,"",  5880,"",  6520,"",
"Immigrant status and period of immigration","    1980 to 1990",,  6120,"",  3200,"",  2920,"",
"Immigrant status and period of immigration","    1991 to 2000",, 12935,"",  6340,"",  6600,"",
"Immigrant status and period of immigration","    2001 to 2010",, 13520,"",  6420,"",  7105,"",
"Immigrant status and period of immigration","    2011 to 2021",70, 21635,"", 10580,"", 11055,"",
"Immigrant status and period of immigration","      2011 to 2015",,  8765,"",  4140,"",  4620,"",
"Immigrant status and period of immigration","      2016 to 2021",, 12875,"",  6435,"",  6440,"",
"Immigrant status and period of immigration","  Non-permanent residents",71,  7480,"",  4770,"",  2710,"",
"Age at immigration","Total - Age at immigration for the immigrant population in private households - 25% sample data",72, 66615,"", 32415,"", 34200,"",
"Age at immigration","  Under 5 years",,  6465,"",  3430,"",  3035,"",
"Age at immigration","  5 to 14 years",, 11735,"",  5830,"",  5895,"",
"Age at immigration","  15 to 24 years",, 13315,"",  6295,"",  7015,"",
"Age at immigration","  25 to 44 years",, 27825,"", 13485,"", 14345,"",
"Age at immigration","  45 years and over",,  7275,"",  3370,"",  3905,"",
"Place of birth","Total - Place of birth for the population in private households - 25% sample data",73,226460,"",112380,"",114080,"",
"Place of birth","  Born in Canada",,149620,"", 73730,"", 75890,"",
"Place of birth","  Born outside Canada",, 76840,"", 38645,"", 38190,"",
"Place of birth","    Americas",, 10155,"",  4605,"",  5555,"",
"Place of birth","      North America",,  5580,"",  2505,"",  3075,"",
"Place of birth","        United States of America",,  5580,"",  2505,"",  3075,"",
"Place of birth","        Other places of birth in North America",,     0,"",     0,"",     0,"",
"Place of birth","      Central America",,  1685,"",   775,"",   915,"",
"Place of birth","        El Salvador",,   640,"",   315,"",   330,"",
"Place of birth","        Guatemala",,   195,"",   100,"",    90,"",
"Place of birth","        Mexico",,   525,"",   230,"",   295,"",
"Place of birth","        Other places of birth in Central America",,   325,"",   130,"",   195,"",
"Place of birth","      Caribbean and Bermuda",,  1655,"",   760,"",   895,"",
"Place of birth","        Barbados",,    40,"",    15,"",    25,"",
"Place of birth","        Cuba",,   100,"",    30,"",    70,"",
"Place of birth","        Dominican Republic",,    50,"",    25,"",    30,"",
"Place of birth","        Grenada",,    20,"",    10,"",    15,"",
"Place of birth","        Haiti",,   250,"",   105,"",   145,"",
"Place of birth","        Jamaica",,   800,"",   390,"",   405,"",
"Place of birth","        Saint Vincent and the Grenadines",,    20,"",    10,"",    10,"",
"Place of birth","        Trinidad and Tobago",,   245,"",   110,"",   130,"",
"Place of birth","        Other places of birth in Caribbean and Bermuda",,   135,"",    65,"",    75,"",
"Place of birth","      South America",,  1230,"",   560,"",   670,"",
