"REF_DATE","GEO","DGUID","Gender (3a)","Census year (4)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","Total - Age","","0","units","0","","26.1.2.1.1","431510","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","15 to 19 years","","0","units","0","","26.1.2.1.2","32675","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","20 to 24 years","","0","units","0","","26.1.2.1.3","38975","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","25 to 29 years","","0","units","0","","26.1.2.1.4","36935","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","30 to 34 years","","0","units","0","","26.1.2.1.5","36050","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","35 to 39 years","","0","units","0","","26.1.2.1.6","34440","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","40 to 44 years","","0","units","0","","26.1.2.1.7","35090","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","45 to 49 years","","0","units","0","","26.1.2.1.8","36655","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","50 to 54 years","","0","units","0","","26.1.2.1.9","39435","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","55 to 59 years","","0","units","0","","26.1.2.1.10","35635","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","60 to 64 years","","0","units","0","","26.1.2.1.11","29760","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","65 to 69 years","","0","units","0","","26.1.2.1.12","24945","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","70 to 74 years","","0","units","0","","26.1.2.1.13","17865","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","75 to 79 years","","0","units","0","","26.1.2.1.14","13190","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","80 to 84 years","","0","units","0","","26.1.2.1.15","9730","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Total - Marital status","85 years and over","","0","units","0","","26.1.2.1.16","10125","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","Total - Age","","0","units","0","","26.1.2.2.1","251110","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","15 to 19 years","","0","units","0","","26.1.2.2.2","225","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","20 to 24 years","","0","units","0","","26.1.2.2.3","4945","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","25 to 29 years","","0","units","0","","26.1.2.2.4","16900","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","30 to 34 years","","0","units","0","","26.1.2.2.5","24515","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","35 to 39 years","","0","units","0","","26.1.2.2.6","25715","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","40 to 44 years","","0","units","0","","26.1.2.2.7","26580","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","45 to 49 years","","0","units","0","","26.1.2.2.8","27380","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","50 to 54 years","","0","units","0","","26.1.2.2.9","28995","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","55 to 59 years","","0","units","0","","26.1.2.2.10","26540","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","60 to 64 years","","0","units","0","","26.1.2.2.11","21955","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","65 to 69 years","","0","units","0","","26.1.2.2.12","17980","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","70 to 74 years","","0","units","0","","26.1.2.2.13","12465","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","75 to 79 years","","0","units","0","","26.1.2.2.14","8495","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","80 to 84 years","","0","units","0","","26.1.2.2.15","5140","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married or living common-law","85 years and over","","0","units","0","","26.1.2.2.16","3270","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","Total - Age","","0","units","0","","26.1.2.3.1","213085","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","15 to 19 years","","0","units","0","","26.1.2.3.2","35","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","20 to 24 years","","0","units","0","","26.1.2.3.3","1485","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","25 to 29 years","","0","units","0","","26.1.2.3.4","9400","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","30 to 34 years","","0","units","0","","26.1.2.3.5","18730","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","35 to 39 years","","0","units","0","","26.1.2.3.6","21475","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","40 to 44 years","","0","units","0","","26.1.2.3.7","22955","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","45 to 49 years","","0","units","0","","26.1.2.3.8","23920","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","50 to 54 years","","0","units","0","","26.1.2.3.9","25570","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","55 to 59 years","","0","units","0","","26.1.2.3.10","23995","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","60 to 64 years","","0","units","0","","26.1.2.3.11","20280","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","65 to 69 years","","0","units","0","","26.1.2.3.12","16870","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","70 to 74 years","","0","units","0","","26.1.2.3.13","11925","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","75 to 79 years","","0","units","0","","26.1.2.3.14","8230","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","80 to 84 years","","0","units","0","","26.1.2.3.15","5005","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Married","85 years and over","","0","units","0","","26.1.2.3.16","3205","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","Total - Age","","0","units","0","","26.1.2.4.1","38025","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","15 to 19 years","","0","units","0","","26.1.2.4.2","190","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","20 to 24 years","","0","units","0","","26.1.2.4.3","3460","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","25 to 29 years","","0","units","0","","26.1.2.4.4","7495","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","30 to 34 years","","0","units","0","","26.1.2.4.5","5785","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","35 to 39 years","","0","units","0","","26.1.2.4.6","4240","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","40 to 44 years","","0","units","0","","26.1.2.4.7","3625","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","45 to 49 years","","0","units","0","","26.1.2.4.8","3465","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","50 to 54 years","","0","units","0","","26.1.2.4.9","3425","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","55 to 59 years","","0","units","0","","26.1.2.4.10","2545","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","60 to 64 years","","0","units","0","","26.1.2.4.11","1670","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","65 to 69 years","","0","units","0","","26.1.2.4.12","1110","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","70 to 74 years","","0","units","0","","26.1.2.4.13","545","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","75 to 79 years","","0","units","0","","26.1.2.4.14","265","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","80 to 84 years","","0","units","0","","26.1.2.4.15","135","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common-law","85 years and over","","0","units","0","","26.1.2.4.16","70","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","Total - Age","","0","units","0","","26.1.2.5.1","26095","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","15 to 19 years","","0","units","0","","26.1.2.5.2","190","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","20 to 24 years","","0","units","0","","26.1.2.5.3","3445","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","25 to 29 years","","0","units","0","","26.1.2.5.4","7345","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","30 to 34 years","","0","units","0","","26.1.2.5.5","5225","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","35 to 39 years","","0","units","0","","26.1.2.5.6","3190","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","40 to 44 years","","0","units","0","","26.1.2.5.7","2190","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","45 to 49 years","","0","units","0","","26.1.2.5.8","1675","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","50 to 54 years","","0","units","0","","26.1.2.5.9","1300","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","55 to 59 years","","0","units","0","","26.1.2.5.10","760","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","60 to 64 years","","0","units","0","","26.1.2.5.11","385","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","65 to 69 years","","0","units","0","","26.1.2.5.12","225","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","70 to 74 years","","0","units","0","","26.1.2.5.13","95","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","75 to 79 years","","0","units","0","","26.1.2.5.14","45","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","80 to 84 years","","0","units","0","","26.1.2.5.15","10","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Never married","85 years and over","","0","units","0","","26.1.2.5.16","10","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","Total - Age","","0","units","0","","26.1.2.6.1","2595","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","15 to 19 years","","0","units","0","","26.1.2.6.2","0","...","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","20 to 24 years","","0","units","0","","26.1.2.6.3","10","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","25 to 29 years","","0","units","0","","26.1.2.6.4","70","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","30 to 34 years","","0","units","0","","26.1.2.6.5","175","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","35 to 39 years","","0","units","0","","26.1.2.6.6","340","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","40 to 44 years","","0","units","0","","26.1.2.6.7","405","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","45 to 49 years","","0","units","0","","26.1.2.6.8","520","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","50 to 54 years","","0","units","0","","26.1.2.6.9","450","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","55 to 59 years","","0","units","0","","26.1.2.6.10","280","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","60 to 64 years","","0","units","0","","26.1.2.6.11","185","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ont.","2021S0503541","Total - Gender","2016","Living common law - Separated","65 to 69 years","","0","units","0","","26.1.2.6.12","90","","","","0"
