"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","Total - Age","","0","units","0","","44.1.1.1","1185835","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","15 to 19 years","","0","units","0","","44.1.1.2","83335","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","20 to 24 years","","0","units","0","","44.1.1.3","90925","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","25 to 29 years","","0","units","0","","44.1.1.4","97180","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","30 to 34 years","","0","units","0","","44.1.1.5","99400","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","35 to 39 years","","0","units","0","","44.1.1.6","97120","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","40 to 44 years","","0","units","0","","44.1.1.7","89345","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","45 to 49 years","","0","units","0","","44.1.1.8","89260","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","50 to 54 years","","0","units","0","","44.1.1.9","92120","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","55 to 59 years","","0","units","0","","44.1.1.10","102820","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","60 to 64 years","","0","units","0","","44.1.1.11","93615","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","65 to 69 years","","0","units","0","","44.1.1.12","77715","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","70 to 74 years","","0","units","0","","44.1.1.13","65935","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","75 to 79 years","","0","units","0","","44.1.1.14","45255","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","80 to 84 years","","0","units","0","","44.1.1.15","30460","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Total - Marital status","85 years and over","","0","units","0","","44.1.1.16","31365","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","Total - Age","","0","units","0","","44.1.2.1","694910","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","15 to 19 years","","0","units","0","","44.1.2.2","410","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","20 to 24 years","","0","units","0","","44.1.2.3","10185","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","25 to 29 years","","0","units","0","","44.1.2.4","40255","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","30 to 34 years","","0","units","0","","44.1.2.5","65905","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","35 to 39 years","","0","units","0","","44.1.2.6","72630","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","40 to 44 years","","0","units","0","","44.1.2.7","67735","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","45 to 49 years","","0","units","0","","44.1.2.8","67360","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","50 to 54 years","","0","units","0","","44.1.2.9","68185","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","55 to 59 years","","0","units","0","","44.1.2.10","74780","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","60 to 64 years","","0","units","0","","44.1.2.11","67885","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","65 to 69 years","","0","units","0","","44.1.2.12","55765","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married or living common-law","70 to 74 years","","0","units","0","","44.1.2.13","45955","","","","0"
