"REF_DATE","GEO","DGUID","Gender (3a)","Census year (4)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","Total - Age","","0","units","0","","34.1.2.1.1","331965","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","15 to 19 years","","0","units","0","","34.1.2.1.2","25215","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","20 to 24 years","","0","units","0","","34.1.2.1.3","27065","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","25 to 29 years","","0","units","0","","34.1.2.1.4","23385","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","30 to 34 years","","0","units","0","","34.1.2.1.5","21790","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","35 to 39 years","","0","units","0","","34.1.2.1.6","23000","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","40 to 44 years","","0","units","0","","34.1.2.1.7","25870","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","45 to 49 years","","0","units","0","","34.1.2.1.8","28015","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","50 to 54 years","","0","units","0","","34.1.2.1.9","31225","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","55 to 59 years","","0","units","0","","34.1.2.1.10","29965","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","60 to 64 years","","0","units","0","","34.1.2.1.11","26050","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","65 to 69 years","","0","units","0","","34.1.2.1.12","23240","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","70 to 74 years","","0","units","0","","34.1.2.1.13","16445","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","75 to 79 years","","0","units","0","","34.1.2.1.14","12125","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","80 to 84 years","","0","units","0","","34.1.2.1.15","8905","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Total - Marital status","85 years and over","","0","units","0","","34.1.2.1.16","9670","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","Total - Age","","0","units","0","","34.1.2.2.1","186500","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","15 to 19 years","","0","units","0","","34.1.2.2.2","205","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","20 to 24 years","","0","units","0","","34.1.2.2.3","3045","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","25 to 29 years","","0","units","0","","34.1.2.2.4","9330","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","30 to 34 years","","0","units","0","","34.1.2.2.5","13850","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","35 to 39 years","","0","units","0","","34.1.2.2.6","16125","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","40 to 44 years","","0","units","0","","34.1.2.2.7","18760","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","45 to 49 years","","0","units","0","","34.1.2.2.8","20015","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","50 to 54 years","","0","units","0","","34.1.2.2.9","22055","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","55 to 59 years","","0","units","0","","34.1.2.2.10","21520","","","","0"
"2021","Windsor (CMA), Ont.","2021S0503559","Total - Gender","2016","Married or living common-law","60 to 64 years","","0","units","0","","34.1.2.2.11","18845","","","","0"
