"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","Total - Age","","0","units","0","","47.1.1.1","550190","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","15 to 19 years","","0","units","0","","47.1.1.2","38180","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","20 to 24 years","","0","units","0","","47.1.1.3","39680","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","25 to 29 years","","0","units","0","","47.1.1.4","40525","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","30 to 34 years","","0","units","0","","47.1.1.5","38505","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","35 to 39 years","","0","units","0","","47.1.1.6","37730","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","40 to 44 years","","0","units","0","","47.1.1.7","37590","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","45 to 49 years","","0","units","0","","47.1.1.8","39670","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","50 to 54 years","","0","units","0","","47.1.1.9","42395","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","55 to 59 years","","0","units","0","","47.1.1.10","48955","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","60 to 64 years","","0","units","0","","47.1.1.11","49280","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","65 to 69 years","","0","units","0","","47.1.1.12","43140","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","70 to 74 years","","0","units","0","","47.1.1.13","36425","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","75 to 79 years","","0","units","0","","47.1.1.14","24800","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","80 to 84 years","","0","units","0","","47.1.1.15","16395","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Total - Marital status","85 years and over","","0","units","0","","47.1.1.16","16905","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","Total - Age","","0","units","0","","47.1.2.1","311065","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","15 to 19 years","","0","units","0","","47.1.2.2","275","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","20 to 24 years","","0","units","0","","47.1.2.3","4610","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","25 to 29 years","","0","units","0","","47.1.2.4","15815","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","30 to 34 years","","0","units","0","","47.1.2.5","23700","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","35 to 39 years","","0","units","0","","47.1.2.6","26240","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","40 to 44 years","","0","units","0","","47.1.2.7","26695","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","45 to 49 years","","0","units","0","","47.1.2.8","28235","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","50 to 54 years","","0","units","0","","47.1.2.9","29855","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","55 to 59 years","","0","units","0","","47.1.2.10","34335","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","60 to 64 years","","0","units","0","","47.1.2.11","35180","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","65 to 69 years","","0","units","0","","47.1.2.12","30660","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","70 to 74 years","","0","units","0","","47.1.2.13","25175","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","75 to 79 years","","0","units","0","","47.1.2.14","15875","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","80 to 84 years","","0","units","0","","47.1.2.15","8890","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married or living common-law","85 years and over","","0","units","0","","47.1.2.16","5525","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","Total - Age","","0","units","0","","47.1.3.1","264590","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","15 to 19 years","","0","units","0","","47.1.3.2","65","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","20 to 24 years","","0","units","0","","47.1.3.3","1595","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","25 to 29 years","","0","units","0","","47.1.3.4","8475","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","30 to 34 years","","0","units","0","","47.1.3.5","17555","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","35 to 39 years","","0","units","0","","47.1.3.6","21575","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","40 to 44 years","","0","units","0","","47.1.3.7","22590","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","45 to 49 years","","0","units","0","","47.1.3.8","24315","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","50 to 54 years","","0","units","0","","47.1.3.9","25930","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","55 to 59 years","","0","units","0","","47.1.3.10","30230","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","60 to 64 years","","0","units","0","","47.1.3.11","31565","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","65 to 69 years","","0","units","0","","47.1.3.12","28150","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","70 to 74 years","","0","units","0","","47.1.3.13","23585","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","75 to 79 years","","0","units","0","","47.1.3.14","15045","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","80 to 84 years","","0","units","0","","47.1.3.15","8555","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Married","85 years and over","","0","units","0","","47.1.3.16","5365","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","Total - Age","","0","units","0","","47.1.4.1","46475","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","15 to 19 years","","0","units","0","","47.1.4.2","210","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","20 to 24 years","","0","units","0","","47.1.4.3","3015","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","25 to 29 years","","0","units","0","","47.1.4.4","7335","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","30 to 34 years","","0","units","0","","47.1.4.5","6140","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","35 to 39 years","","0","units","0","","47.1.4.6","4660","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","40 to 44 years","","0","units","0","","47.1.4.7","4110","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","45 to 49 years","","0","units","0","","47.1.4.8","3920","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","50 to 54 years","","0","units","0","","47.1.4.9","3925","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","55 to 59 years","","0","units","0","","47.1.4.10","4105","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","60 to 64 years","","0","units","0","","47.1.4.11","3615","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","65 to 69 years","","0","units","0","","47.1.4.12","2515","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","70 to 74 years","","0","units","0","","47.1.4.13","1590","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","75 to 79 years","","0","units","0","","47.1.4.14","830","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","80 to 84 years","","0","units","0","","47.1.4.15","340","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common-law","85 years and over","","0","units","0","","47.1.4.16","155","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","Total - Age","","0","units","0","","47.1.5.1","30120","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","15 to 19 years","","0","units","0","","47.1.5.2","210","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","20 to 24 years","","0","units","0","","47.1.5.3","3000","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","25 to 29 years","","0","units","0","","47.1.5.4","7220","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","30 to 34 years","","0","units","0","","47.1.5.5","5735","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","35 to 39 years","","0","units","0","","47.1.5.6","3755","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","40 to 44 years","","0","units","0","","47.1.5.7","2725","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","45 to 49 years","","0","units","0","","47.1.5.8","2030","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","50 to 54 years","","0","units","0","","47.1.5.9","1660","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","55 to 59 years","","0","units","0","","47.1.5.10","1535","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","60 to 64 years","","0","units","0","","47.1.5.11","1080","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","65 to 69 years","","0","units","0","","47.1.5.12","645","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","70 to 74 years","","0","units","0","","47.1.5.13","310","","","","0"
"2021","Windsor--Sarnia, Ont.","2021S05003570","Total - Gender","Living common law - Never married","75 to 79 years","","0","units","0","","47.1.5.14","135","","","","0"
